game_id,player_name,player_char,move
jeffBot1669551974.303259,jeff,O,"(1, 1)"
jeffBot1669551974.303259,Bot,X,"(1, 2)"
jeffBot1669551974.303259,jeff,O,"(2, 2)"
jeffBot1669551974.303259,Bot,X,"(1, 0)"
jeffBot1669551974.303259,jeff,O,"(0, 0)"
jeffemily1669552164.830233,jeff,O,"(1, 1)"
jeffemily1669552164.830233,emily,X,"(2, 0)"
jeffemily1669552164.830233,jeff,O,"(0, 2)"
jeffemily1669552164.830233,emily,X,"(1, 2)"
jeffemily1669552164.830233,jeff,O,"(0, 0)"
jeffemily1669552164.830233,emily,X,"(1, 0)"
jeffemily1669552164.830233,jeff,O,"(0, 1)"
jeffBot1669552476.520794,jeff,O,"(0, 0)"
jeffBot1669552476.520794,Bot,X,"(1, 1)"
jeffBot1669552476.520794,jeff,O,"(2, 1)"
jeffBot1669552476.520794,Bot,X,"(1, 0)"
jeffBot1669552476.520794,jeff,O,"(0, 2)"
jeffBot1669552476.520794,Bot,X,"(0, 1)"
jeffBot1669552476.520794,jeff,O,"(2, 0)"
jeffBot1669552476.520794,Bot,X,"(2, 2)"
jeffBot1669552476.520794,jeff,O,"(1, 2)"
EmilyBot1669552658.557786,Emily,O,"(2, 1)"
EmilyBot1669552658.557786,Bot,X,"(1, 1)"
EmilyBot1669552658.557786,Emily,O,"(1, 2)"
EmilyBot1669552658.557786,Bot,X,"(0, 0)"
EmilyBot1669552658.557786,Emily,O,"(2, 2)"
EmilyBot1669552658.557786,Bot,X,"(0, 1)"
EmilyBot1669552658.557786,Emily,O,"(1, 0)"
EmilyBot1669552658.557786,Bot,X,"(0, 2)"
EmilyBot1669552697.944347,Emily,O,"(2, 1)"
EmilyBot1669552697.944347,Bot,X,"(1, 1)"
EmilyBot1669552697.944347,Emily,O,"(0, 2)"
EmilyBot1669552697.944347,Bot,X,"(0, 1)"
EmilyBot1669552697.944347,Emily,O,"(0, 0)"
EmilyBot1669552697.944347,Bot,X,"(1, 2)"
EmilyBot1669552697.944347,Emily,O,"(2, 2)"
EmilyBot1669552697.944347,Bot,X,"(2, 0)"
EmilyBot1669552697.944347,Emily,O,"(1, 0)"
EmilyBot1669552793.424584,Emily,O,"(1, 0)"
EmilyBot1669552793.424584,Bot,X,"(1, 1)"
EmilyBot1669552793.424584,Emily,O,"(2, 2)"
EmilyBot1669552793.424584,Bot,X,"(0, 0)"
EmilyBot1669552793.424584,Emily,O,"(0, 2)"
EmilyBot1669552793.424584,Bot,X,"(2, 0)"
EmilyBot1669552793.424584,Emily,O,"(1, 2)"
jeffBot1669553407.269564,jeff,O,"(1, 0)"
jeffBot1669553407.269564,Bot,X,"(1, 1)"
jeffBot1669553407.269564,jeff,O,"(2, 2)"
jeffBot1669553407.269564,Bot,X,"(0, 1)"
jeffBot1669553407.269564,jeff,O,"(0, 2)"
jeffBot1669553407.269564,Bot,X,"(2, 1)"
emilyjeff1669553452.31387,emily,O,"(0, 1)"
emilyjeff1669553452.31387,jeff,X,"(2, 1)"
emilyjeff1669553452.31387,emily,O,"(0, 2)"
emilyjeff1669553452.31387,jeff,X,"(1, 1)"
emilyjeff1669553452.31387,emily,O,"(0, 0)"
emilyjeff1669553703.678697,emily,O,"(1, 0)"
emilyjeff1669553703.678697,jeff,X,"(2, 1)"
emilyjeff1669553703.678697,emily,O,"(0, 0)"
emilyjeff1669553703.678697,jeff,X,"(2, 0)"
emilyjeff1669553703.678697,emily,O,"(2, 2)"
emilyjeff1669553703.678697,jeff,X,"(0, 2)"
emilyjeff1669553703.678697,emily,O,"(1, 1)"
EmilyBot1669553731.651781,Emily,O,"(0, 1)"
EmilyBot1669553731.651781,Bot,X,"(1, 1)"
EmilyBot1669553731.651781,Emily,O,"(2, 1)"
EmilyBot1669553731.651781,Bot,X,"(1, 2)"
EmilyBot1669553731.651781,Emily,O,"(0, 0)"
EmilyBot1669553731.651781,Bot,X,"(2, 2)"
EmilyBot1669553731.651781,Emily,O,"(2, 0)"
EmilyBot1669553731.651781,Bot,X,"(0, 2)"
Emilyjeff1669553764.939838,Emily,O,"(1, 1)"
Emilyjeff1669553764.939838,jeff,X,"(0, 0)"
Emilyjeff1669553764.939838,Emily,O,"(2, 0)"
Emilyjeff1669553764.939838,jeff,X,"(2, 1)"
Emilyjeff1669553764.939838,Emily,O,"(1, 2)"
Emilyjeff1669553764.939838,jeff,X,"(0, 2)"
Emilyjeff1669553764.939838,Emily,O,"(0, 1)"
Emilyjeff1669553764.939838,jeff,X,"(1, 0)"
Emilyjeff1669553764.939838,Emily,O,"(2, 2)"
loserBot1669553914.57367,loser,O,"(0, 0)"
loserBot1669553914.57367,Bot,X,"(1, 1)"
loserBot1669553914.57367,loser,O,"(2, 0)"
loserBot1669553914.57367,Bot,X,"(0, 2)"
loserBot1669553914.57367,loser,O,"(0, 1)"
loserBot1669553914.57367,Bot,X,"(2, 2)"
loserBot1669553914.57367,loser,O,"(2, 1)"
loserBot1669553914.57367,Bot,X,"(1, 0)"
loserBot1669553914.57367,loser,O,"(1, 2)"
loserBot1669553990.586216,loser,O,"(0, 0)"
loserBot1669553990.586216,Bot,X,"(1, 1)"
loserBot1669553990.586216,loser,O,"(2, 2)"
loserBot1669553990.586216,Bot,X,"(2, 1)"
loserBot1669553990.586216,loser,O,"(2, 0)"
loserBot1669553990.586216,Bot,X,"(0, 2)"
loserBot1669553990.586216,loser,O,"(1, 2)"
loserBot1669553990.586216,Bot,X,"(1, 0)"
loserBot1669553990.586216,loser,O,"(0, 1)"
loserBot1669554012.220022,loser,O,"(0, 0)"
loserBot1669554012.220022,Bot,X,"(1, 1)"
loserBot1669554012.220022,loser,O,"(2, 1)"
loserBot1669554012.220022,Bot,X,"(0, 1)"
loserBot1669554012.220022,loser,O,"(0, 2)"
loserBot1669554012.220022,Bot,X,"(1, 2)"
loserBot1669554012.220022,loser,O,"(2, 2)"
loserBot1669554012.220022,Bot,X,"(1, 0)"
jeffloser1669554042.826044,jeff,O,"(1, 1)"
jeffloser1669554042.826044,loser,X,"(0, 0)"
jeffloser1669554042.826044,jeff,O,"(1, 2)"
jeffloser1669554042.826044,loser,X,"(0, 1)"
jeffloser1669554042.826044,jeff,O,"(1, 0)"
emilyloser1669554111.055961,emily,O,"(1, 1)"
emilyloser1669554111.055961,loser,X,"(0, 2)"
emilyloser1669554111.055961,emily,O,"(2, 1)"
emilyloser1669554111.055961,loser,X,"(1, 0)"
emilyloser1669554111.055961,emily,O,"(0, 1)"
emilyloser1669554167.366992,emily,O,"(1, 1)"
emilyloser1669554167.366992,loser,X,"(0, 0)"
emilyloser1669554167.366992,emily,O,"(2, 1)"
emilyloser1669554167.366992,loser,X,"(0, 2)"
emilyloser1669554167.366992,emily,O,"(0, 1)"
jeffloser1669554232.338672,jeff,O,"(1, 1)"
jeffloser1669554232.338672,loser,X,"(0, 2)"
jeffloser1669554232.338672,jeff,O,"(0, 0)"
jeffloser1669554232.338672,loser,X,"(1, 0)"
jeffloser1669554232.338672,jeff,O,"(2, 2)"
